user_id,status,username,first_name,last_name,gender,email,hiredate,manager,hr,job_code,division,location,city,state,zip,country
1001,Active,claurent,Cécile,Laurent,F,cecile.laurent@novaryn-tech.com,2024-08-12,1163,1064,CSM-SALES,Commercial,Novaryn Tech - Marseille,Marseille,Provence-Alpes-Côte d'Azur,13001,France
1002,Active,lmoulin,Laure,Moulin,F,laure.moulin@novaryn-tech.com,2015-10-18,1227,1043,SR-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1003,Active,dgallet,Daniel,Gallet,M,daniel.gallet@novaryn-tech.com,2013-09-28,1062,1114,LEAD-PAYROLL-OP,People & Culture,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1004,Active,ytraore,Yves,Traore,M,yves.traore@novaryn-tech.com,2021-04-11,1232,1043,LEAD-CSM-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1005,Active,amaury,Aurore,Maury,F,aurore.maury@novaryn-tech.com,2019-03-06,1180,1060,SR-CSM-SALES,Commercial,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1006,Leave,amartinez,Alexandria,Martinez,F,alexandria.martinez@novaryn-tech.com,2013-08-05,1210,1134,SR-ML-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1007,Terminated,grey,Gabrielle,Rey,F,gabrielle.rey@novaryn-tech.com,2020-08-06,1157,1142,SR-QA-ENG,Technology,Novaryn Tech - Toulouse,Toulouse,Occitanie,31000,France
1008,Active,aguilbert,Alexandrie,Guilbert,F,alexandrie.guilbert@novaryn-tech.com,2015-05-20,1045,1172,LEAD-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1009,Active,vboutin,Victor,Boutin,M,victor.boutin@novaryn-tech.com,2021-04-09,1002,1148,CONF-BACK-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1010,Active,mvasseur,Marc,Vasseur,M,marc.vasseur@novaryn-tech.com,2019-08-23,1101,1134,FA-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1011,Active,lrobert,Laurence,Robert,F,laurence.robert@novaryn-tech.com,2024-11-28,1228,1134,SR-FA-FIN,Finance & Administration,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1012,Active,erocher,Édouard,Rocher,M,edouard.rocher@novaryn-tech.com,2019-03-11,,1172,CMO,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1013,Active,jlopes,Jean,Lopes,M,jean.lopes@novaryn-tech.com,2014-08-24,1109,1175,CONF-FA-FIN,Finance & Administration,Novaryn Tech - Lyon,Lyon,Auvergne-Rhône-Alpes,69001,France
1014,Active,gledoux,Gabrielle,Ledoux,F,gabrielle.ledoux@novaryn-tech.com,2017-09-22,1095,1113,CONF-BD-SALES,Commercial,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1015,Active,cmorin,Caroline,Morin,F,caroline.morin@novaryn-tech.com,2018-06-18,1017,1003,SR-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1016,Active,bpelletier,Brigitte,Pelletier,F,brigitte.pelletier@novaryn-tech.com,2017-11-07,1169,1003,SR-DATA-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
1017,Active,taubry,Thibaut,Aubry,M,thibaut.aubry@novaryn-tech.com,2012-09-26,1102,1148,LEAD-SECU-ENG,Technology,Novaryn Tech - Paris,Paris,Île-de-France,75001,France
